Pid      Process              Base       InLoad InInit InMem MappedPath
     664 lsass.exe            0x71aa0000 True   True   True  \WINDOWS\system32\ws2help.dll
     664 lsass.exe            0x744b0000 True   True   True  \WINDOWS\system32\netlogon.dll
     664 lsass.exe            0x776c0000 True   True   True  \WINDOWS\system32\authz.dll
     664 lsass.exe            0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
     664 lsass.exe            0x71cf0000 True   True   True  \WINDOWS\system32\kerberos.dll
     664 lsass.exe            0x77b20000 True   True   True  \WINDOWS\system32\msasn1.dll
     824 svchost.exe          0x00670000 True   True   True  \WINDOWS\system32\xpsp2res.dll
     824 svchost.exe          0x01000000 True   False  True  \WINDOWS\system32\svchost.exe
     824 svchost.exe          0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
     824 svchost.exe          0x74f70000 True   True   True  \WINDOWS\system32\icaapi.dll
     824 svchost.exe          0x76f60000 True   True   True  \WINDOWS\system32\wldap32.dll
     824 svchost.exe          0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     824 svchost.exe          0x5ad70000 True   True   True  \WINDOWS\system32\uxtheme.dll
     824 svchost.exe          0x76c90000 True   True   True  \WINDOWS\system32\imagehlp.dll
     824 svchost.exe          0x76bc0000 True   True   True  \WINDOWS\system32\regapi.dll
     824 svchost.exe          0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     824 svchost.exe          0x77a80000 True   True   True  \WINDOWS\system32\crypt32.dll
     824 svchost.exe          0x77be0000 True   True   True  \WINDOWS\system32\msacm32.dll
     824 svchost.exe          0x68000000 True   True   True  \WINDOWS\system32\rsaenh.dll
     824 svchost.exe          0x76e10000 True   True   True  \WINDOWS\system32\adsldpc.dll
     824 svchost.exe          0x76b40000 True   True   True  \WINDOWS\system32\winmm.dll
     824 svchost.exe          0x773d0000 True   True   True  \WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
     824 svchost.exe          0x5b860000 True   True   True  \WINDOWS\system32\netapi32.dll
     824 svchost.exe          0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
     824 svchost.exe          0x6f880000 True   True   True  \WINDOWS\AppPatch\AcGenral.dll
     824 svchost.exe          0x77690000 True   True   True  \WINDOWS\system32\ntmarta.dll
     824 svchost.exe          0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
     824 svchost.exe          0x77cc0000 True   True   True  \WINDOWS\system32\activeds.dll
     824 svchost.exe          0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
     824 svchost.exe          0x77920000 True   True   True  \WINDOWS\system32\setupapi.dll
     824 svchost.exe          0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
     824 svchost.exe          0x7c900000 True   True   True  \WINDOWS\system32\ntdll.dll
     824 svchost.exe          0x77f10000 True   True   True  \WINDOWS\system32\gdi32.dll
     824 svchost.exe          0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
     824 svchost.exe          0x5cb70000 True   True   True  \WINDOWS\system32\shimeng.dll
     824 svchost.exe          0x769c0000 True   True   True  \WINDOWS\system32\userenv.dll
     824 svchost.exe          0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
     824 svchost.exe          0x76fd0000 True   True   True  \WINDOWS\system32\clbcatq.dll
     824 svchost.exe          0x76b20000 True   True   True  \WINDOWS\system32\atl.dll
     824 svchost.exe          0x71bf0000 True   True   True  \WINDOWS\system32\samlib.dll
     824 svchost.exe          0x77c10000 True   True   True  \WINDOWS\system32\msvcrt.dll
     824 svchost.exe          0x760f0000 True   True   True  \WINDOWS\system32\termsrv.dll
     824 svchost.exe          0x76c30000 True   True   True  \WINDOWS\system32\wintrust.dll
     824 svchost.exe          0x7c9c0000 True   True   True  \WINDOWS\system32\shell32.dll
     824 svchost.exe          0x77050000 True   True   True  \WINDOWS\system32\comres.dll
     824 svchost.exe          0x76a80000 True   True   True  \WINDOWS\system32\rpcss.dll
     824 svchost.exe          0x5d090000 True   True   True  \WINDOWS\system32\comctl32.dll
     824 svchost.exe          0x71aa0000 True   True   True  \WINDOWS\system32\ws2help.dll
     824 svchost.exe          0x776c0000 True   True   True  \WINDOWS\system32\authz.dll
     824 svchost.exe          0x77fe0000 True   True   True  \WINDOWS\system32\secur32.dll
     824 svchost.exe          0x77b20000 True   True   True  \WINDOWS\system32\msasn1.dll
     824 svchost.exe          0x75110000 True   True   True  \WINDOWS\system32\mstlsapi.dll
     908 svchost.exe          0x01000000 True   False  True  \WINDOWS\system32\svchost.exe
     908 svchost.exe          0x00670000 True   True   True  \WINDOWS\system32\xpsp2res.dll
     908 svchost.exe          0x71ab0000 True   True   True  \WINDOWS\system32\ws2_32.dll
     908 svchost.exe          0x76f60000 True   True   True  \WINDOWS\system32\wldap32.dll
     908 svchost.exe          0x77c00000 True   True   True  \WINDOWS\system32\version.dll
     908 svchost.exe          0x5ad70000 True   True   True  \WINDOWS\system32\uxtheme.dll
     908 svchost.exe          0x76fc0000 True   True   True  \WINDOWS\system32\rasadhlp.dll
     908 svchost.exe          0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
     908 svchost.exe          0x77be0000 True   True   True  \WINDOWS\system32\msacm32.dll
     908 svchost.exe          0x68000000 True   True   True  \WINDOWS\system32\rsaenh.dll
     908 svchost.exe          0x76f20000 True   True   True  \WINDOWS\system32\dnsapi.dll
     908 svchost.exe          0x76b40000 True   True   True  \WINDOWS\system32\winmm.dll
     908 svchost.exe          0x773d0000 True   True   True  \WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
     908 svchost.exe          0x71a50000 True   True   True  \WINDOWS\system32\mswsock.dll
     908 svchost.exe          0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
     908 svchost.exe          0x77e70000 True   True   True  \WINDOWS\system32\rpcrt4.dll
